data,fold,depth,min_samples_leaf,min_samples_split,num_rows,num_targets,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
class,2,15,5,10,500,5,medoid,optimal,mse,1203.46383140579,0,25.0234096050262
class,3,15,5,10,500,5,sklearn,sklearn,sklearn,1184.65967423003,55,0.002262592315674
class,3,15,5,10,500,5,optimal,medoid,mse,1552.905615,0,166.048090219498
class,3,15,5,10,500,5,optimal,optimal,mse,1267.65475655779,0,162.555591821671
class,3,15,5,10,500,5,mean,medoid,mse,1764.1585198,0,8.73473262786865
class,3,15,5,10,500,5,mean,optimal,mse,1379.00785001864,0,8.94096279144287
class,3,15,5,10,500,5,medoid,medoid,mse,1460.2343996,0,21.9892778396606
class,3,15,5,10,500,5,medoid,optimal,mse,1326.31739770717,0,22.4465553760529
class,4,15,5,10,500,5,sklearn,sklearn,sklearn,955.005721737141,62,0.002074003219605
class,4,15,5,10,500,5,optimal,medoid,mse,1569.5342056,0,178.435220718384
class,4,15,5,10,500,5,optimal,optimal,mse,1329.15415826983,0,175.983331680298
class,4,15,5,10,500,5,mean,medoid,mse,1432.2552448,0,8.06355142593384
class,4,15,5,10,500,5,mean,optimal,mse,1297.69894953746,0,8.13241839408875
class,4,15,5,10,500,5,medoid,medoid,mse,1466.8645772,0,26.8343100547791
class,4,15,5,10,500,5,medoid,optimal,mse,1281.94278053743,0,27.0880143642426
class,0,15,5,10,500,7,sklearn,sklearn,sklearn,838.878355497416,59,0.002391338348389
class,0,15,5,10,500,7,optimal,medoid,mse,1065.22094185714,0,460.084487438202
class,0,15,5,10,500,7,optimal,optimal,mse,912.975856230926,0,258.856840133667
class,0,15,5,10,500,7,mean,medoid,mse,1089.53349314286,0,8.96957516670227
class,0,15,5,10,500,7,mean,optimal,mse,918.615430193181,0,9.04979658126831
class,0,15,5,10,500,7,medoid,medoid,mse,1130.59371628571,0,28.5750977993011
class,0,15,5,10,500,7,medoid,optimal,mse,961.677771799555,0,28.3737328052521
class,1,15,5,10,500,7,sklearn,sklearn,sklearn,877.172684758322,50,0.00222373008728
class,1,15,5,10,500,7,optimal,medoid,mse,1041.09600542857,0,193.042023897171
class,1,15,5,10,500,7,optimal,optimal,mse,904.16333261436,0,195.241792440414
class,1,15,5,10,500,7,mean,medoid,mse,1095.87560285714,0,8.9481840133667
class,1,15,5,10,500,7,mean,optimal,mse,916.767542039098,0,8.61930298805237
class,1,15,5,10,500,7,medoid,medoid,mse,1107.62674971429,0,33.1472647190094
class,1,15,5,10,500,7,medoid,optimal,mse,930.253489880787,0,34.7672624588013
class,2,15,5,10,500,7,sklearn,sklearn,sklearn,740.417886281931,49,0.002329111099243
class,2,15,5,10,500,7,optimal,medoid,mse,1208.47371628571,0,239.740651369095
class,2,15,5,10,500,7,optimal,optimal,mse,971.098960867227,0,241.94163274765
class,2,15,5,10,500,7,mean,medoid,mse,1067.63876557143,0,10.5803661346436
class,2,15,5,10,500,7,mean,optimal,mse,872.584919123845,0,10.7503089904785
class,2,15,5,10,500,7,medoid,medoid,mse,1148.75485014286,0,30.5684480667114
class,2,15,5,10,500,7,medoid,optimal,mse,1020.79407265077,0,31.2817749977112
class,3,15,5,10,500,7,sklearn,sklearn,sklearn,947.388906809659,50,0.002159833908081
class,3,15,5,10,500,7,optimal,medoid,mse,1391.75559842857,0,484.308887720108
class,3,15,5,10,500,7,optimal,optimal,mse,1052.6589424467,0,271.515785455704
class,3,15,5,10,500,7,mean,medoid,mse,1288.92044371429,0,9.69583916664124
class,3,15,5,10,500,7,mean,optimal,mse,1014.51372478485,0,9.66728687286377
class,3,15,5,10,500,7,medoid,medoid,mse,1071.95849085714,0,29.7981626987457
class,3,15,5,10,500,7,medoid,optimal,mse,958.408124607021,0,30.8293941020966
class,4,15,5,10,500,7,sklearn,sklearn,sklearn,759.615138623448,57,0.002484560012817
class,4,15,5,10,500,7,optimal,medoid,mse,1207.15569857143,0,244.958166122437
class,4,15,5,10,500,7,optimal,optimal,mse,992.555357636199,0,239.867408275604
class,4,15,5,10,500,7,mean,medoid,mse,1089.69040471429,0,8.80718517303467
class,4,15,5,10,500,7,mean,optimal,mse,954.170557021993,0,9.30433297157288
class,4,15,5,10,500,7,medoid,medoid,mse,1095.41545,0,29.8478360176086
class,4,15,5,10,500,7,medoid,optimal,mse,972.614353787592,0,30.1399025917053
class,0,15,5,10,2000,3,sklearn,sklearn,sklearn,1624.89130936453,243,0.006234407424927
class,0,15,5,10,2000,3,optimal,medoid,mse,2335.56140708333,0,2216.59343767166
class,0,15,5,10,2000,3,optimal,optimal,mse,2012.49331225558,0,2942.85511636734
class,0,15,5,10,2000,3,mean,medoid,mse,2252.11545008333,0,529.443734645843
class,0,15,5,10,2000,3,mean,optimal,mse,2058.21474073714,0,303.677947044373
class,0,15,5,10,2000,3,medoid,medoid,mse,1875.978795,0,722.971313714981
class,0,15,5,10,2000,3,medoid,optimal,mse,1992.13235510859,0,728.780103683472
class,1,15,5,10,2000,3,sklearn,sklearn,sklearn,1636.29858879513,225,0.006306171417236
class,1,15,5,10,2000,3,optimal,medoid,mse,2408.86534433333,0,1980.46717905998
class,1,15,5,10,2000,3,optimal,optimal,mse,2243.56670652182,0,1783.65445518494
class,1,15,5,10,2000,3,mean,medoid,mse,2255.80632141667,0,136.12708568573
class,1,15,5,10,2000,3,mean,optimal,mse,2046.21609094585,0,140.697850704193
class,1,15,5,10,2000,3,medoid,medoid,mse,2196.20202716667,0,749.956182956696
class,1,15,5,10,2000,3,medoid,optimal,mse,2127.61555734115,0,749.337320566177
class,2,15,5,10,2000,3,sklearn,sklearn,sklearn,1543.77819105318,198,0.006319761276245
class,2,15,5,10,2000,3,optimal,medoid,mse,2314.9174275,0,1836.37240505219
class,2,15,5,10,2000,3,optimal,optimal,mse,2186.10176767798,0,1793.59157037735
class,2,15,5,10,2000,3,mean,medoid,mse,2209.62783733333,0,526.959815979004
class,2,15,5,10,2000,3,mean,optimal,mse,1993.36251907371,0,309.8805372715
class,2,15,5,10,2000,3,medoid,medoid,mse,1755.19088458333,0,929.516780853272
class,2,15,5,10,2000,3,medoid,optimal,mse,1893.93053352303,0,960.690354824066
class,3,15,5,10,2000,3,sklearn,sklearn,sklearn,1613.82495444701,233,0.005851745605469
class,3,15,5,10,2000,3,optimal,medoid,mse,2311.66148375,0,2863.10149002075
class,3,15,5,10,2000,3,optimal,optimal,mse,2123.2591798775,0,2144.36658382416
class,3,15,5,10,2000,3,mean,medoid,mse,2202.81898141667,0,142.271620750427
class,3,15,5,10,2000,3,mean,optimal,mse,2060.57733604169,0,159.538526058197
class,3,15,5,10,2000,3,medoid,medoid,mse,1854.46372991667,0,1293.12478876114
class,3,15,5,10,2000,3,medoid,optimal,mse,1991.7045126428,0,1273.35346865654
class,4,15,5,10,2000,3,sklearn,sklearn,sklearn,1641.83505341913,226,0.007160902023315
class,4,15,5,10,2000,3,optimal,medoid,mse,2479.75350025,0,2715.75726270676
class,4,15,5,10,2000,3,optimal,optimal,mse,2180.5797334409,0,2698.64702248573
class,4,15,5,10,2000,3,mean,medoid,mse,2271.59741841667,0,174.297638654709
class,4,15,5,10,2000,3,mean,optimal,mse,2129.1891102957,0,196.707652807236
class,4,15,5,10,2000,3,medoid,medoid,mse,2026.38123908333,0,1428.06454825401
class,4,15,5,10,2000,3,medoid,optimal,mse,2062.0471000127,0,1254.01566243172
class,0,15,5,10,2000,5,sklearn,sklearn,sklearn,1176.23362992706,213,0.007239103317261
class,0,15,5,10,2000,5,optimal,medoid,mse,1589.09556385,0,2729.78700661659
class,0,15,5,10,2000,5,optimal,optimal,mse,1319.9994452633,0,3086.81321930885
class,0,15,5,10,2000,5,mean,medoid,mse,1533.2143653,0,136.125518321991
class,0,15,5,10,2000,5,mean,optimal,mse,1327.10827546361,0,136.401490688324
class,0,15,5,10,2000,5,medoid,medoid,mse,1315.5744809,0,1869.85942840576
class,0,15,5,10,2000,5,medoid,optimal,mse,1247.33910738392,0,1924.36167001724
class,1,15,5,10,2000,5,sklearn,sklearn,sklearn,1145.58349798524,237,0.011695623397827
class,1,15,5,10,2000,5,optimal,medoid,mse,1533.8552458,0,3049.23332214355
class,1,15,5,10,2000,5,optimal,optimal,mse,1336.81451872447,0,2723.05420899391
class,1,15,5,10,2000,5,mean,medoid,mse,1595.19233145,0,164.040142297745
class,1,15,5,10,2000,5,mean,optimal,mse,1402.85785470121,0,187.354345083237
class,1,15,5,10,2000,5,medoid,medoid,mse,1215.26978055,0,2284.52974510193
class,1,15,5,10,2000,5,medoid,optimal,mse,1285.40428731053,0,2116.80643129349
class,2,15,5,10,2000,5,sklearn,sklearn,sklearn,1020.73321747157,218,0.005686283111572
class,2,15,5,10,2000,5,optimal,medoid,mse,1495.81449675,0,3280.53713178635
class,2,15,5,10,2000,5,optimal,optimal,mse,1266.03276193619,0,3231.54929566383
class,2,15,5,10,2000,5,mean,medoid,mse,1474.6961513,0,127.089698076248
class,2,15,5,10,2000,5,mean,optimal,mse,1263.37598200809,0,127.360423088074
class,2,15,5,10,2000,5,medoid,medoid,mse,1211.9904598,0,1516.88296246529
class,2,15,5,10,2000,5,medoid,optimal,mse,1240.55489310872,0,1781.07133054733
class,3,15,5,10,2000,5,sklearn,sklearn,sklearn,977.153150485294,266,0.008287668228149
class,3,15,5,10,2000,5,optimal,medoid,mse,1374.18217175,0,2970.64670133591
class,3,15,5,10,2000,5,optimal,optimal,mse,1225.19842535186,0,2791.33758187294
class,3,15,5,10,2000,5,mean,medoid,mse,1394.39917945,0,145.390214443207
class,3,15,5,10,2000,5,mean,optimal,mse,1256.58705898707,0,145.558367729187
class,3,15,5,10,2000,5,medoid,medoid,mse,1188.20687295,0,1489.70909690857
class,3,15,5,10,2000,5,medoid,optimal,mse,1203.27535416812,0,1494.91930055618
class,4,15,5,10,2000,5,sklearn,sklearn,sklearn,1081.76660330384,232,0.006291389465332
class,4,15,5,10,2000,5,optimal,medoid,mse,1503.7249962,0,3135.13291597366
class,4,15,5,10,2000,5,optimal,optimal,mse,1290.37699496923,0,3330.49139690399
class,4,15,5,10,2000,5,mean,medoid,mse,1497.2615685,0,168.488397121429
class,4,15,5,10,2000,5,mean,optimal,mse,1291.45123034935,0,171.879199266434
class,4,15,5,10,2000,5,medoid,medoid,mse,1358.76094955,0,1822.77133917809
class,4,15,5,10,2000,5,medoid,optimal,mse,1224.71184490279,0,1690.43314027786
class,0,15,5,10,2000,7,sklearn,sklearn,sklearn,826.093405315308,214,0.006252288818359
class,0,15,5,10,2000,7,optimal,medoid,mse,1227.2623905,0,3663.67492508888
class,0,15,5,10,2000,7,optimal,optimal,mse,999.601176579488,0,3253.14403414726
class,0,15,5,10,2000,7,mean,medoid,mse,1217.27404467857,0,147.905393123627
class,0,15,5,10,2000,7,mean,optimal,mse,996.639387392611,0,148.252890825272
class,0,15,5,10,2000,7,medoid,medoid,mse,1052.61529639286,0,1991.6837015152
class,0,15,5,10,2000,7,medoid,optimal,mse,976.394104785846,0,1986.95943832397
class,1,15,5,10,2000,7,sklearn,sklearn,sklearn,792.685525094032,253,0.005954504013062
class,1,15,5,10,2000,7,optimal,medoid,mse,1123.95595060714,0,5718.7023332119
class,1,15,5,10,2000,7,optimal,optimal,mse,949.32252103457,0,5735.61763286591
class,1,15,5,10,2000,7,mean,medoid,mse,1189.32349521429,0,143.090415477753
class,1,15,5,10,2000,7,mean,optimal,mse,1000.73384356916,0,142.931519269943
class,1,15,5,10,2000,7,medoid,medoid,mse,1007.2966135,0,2895.72965288162
class,1,15,5,10,2000,7,medoid,optimal,mse,943.058986333631,0,2904.88540816307
class,2,15,5,10,2000,7,sklearn,sklearn,sklearn,723.790127532808,222,0.00620436668396
class,2,15,5,10,2000,7,optimal,medoid,mse,1118.28009035714,0,3288.75040769577
class,2,15,5,10,2000,7,optimal,optimal,mse,909.717165869638,0,3334.89579463005
class,2,15,5,10,2000,7,mean,medoid,mse,1056.25186014286,0,149.124253988266
class,2,15,5,10,2000,7,mean,optimal,mse,873.235636320026,0,150.631136417389
class,2,15,5,10,2000,7,medoid,medoid,mse,893.487911392857,0,2008.72121334076
class,2,15,5,10,2000,7,medoid,optimal,mse,883.615271043852,0,1981.64588809013
class,3,15,5,10,2000,7,sklearn,sklearn,sklearn,707.877275159373,227,0.005975008010864
class,3,15,5,10,2000,7,optimal,medoid,mse,928.974746535715,0,6389.11210942268
class,3,15,5,10,2000,7,optimal,optimal,mse,863.815635883317,0,9192.70937108993
class,3,15,5,10,2000,7,mean,medoid,mse,1051.37876942857,0,143.449763059616
class,3,15,5,10,2000,7,mean,optimal,mse,920.467629314306,0,142.494391441345
class,3,15,5,10,2000,7,medoid,medoid,mse,1011.30088992857,0,1652.56497716904
class,3,15,5,10,2000,7,medoid,optimal,mse,909.493558428885,0,1514.24274921417
class,4,15,5,10,2000,7,sklearn,sklearn,sklearn,770.801596125131,261,0.006257772445679
class,4,15,5,10,2000,7,optimal,medoid,mse,1133.24184817857,0,4219.93351793289
class,4,15,5,10,2000,7,optimal,optimal,mse,952.059240436,0,4226.92209529877
class,4,15,5,10,2000,7,mean,medoid,mse,1095.161822,0,169.310078144073
class,4,15,5,10,2000,7,mean,optimal,mse,950.035218122178,0,183.204630851746
class,4,15,5,10,2000,7,medoid,medoid,mse,831.032805500001,0,4147.89465975761
class,4,15,5,10,2000,7,medoid,optimal,mse,861.526378063324,0,4140.07957267761
class,0,15,5,10,500,3,lagrangian,lagrangian,mse,2381.74080733333,0,100.823497772217
class,1,15,5,10,500,3,lagrangian,lagrangian,mse,2272.625586,0,155.429423809052
