data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution
hts_df_size_500_seed_0_v2,4,7,5,10,mean,optimal,mse,7.552307692307692,0.33815412258901106,0,1.9978625774383545,True,True,False
hts_df_size_500_seed_0_v2,4,7,5,10,optimal,optimal,mse,6.920000000000001,0.22611881104203968,0,149.03260970115662,True,True,False
hts_df_size_500_seed_1_v2,0,7,5,10,sklearn,sklearn,sklearn,4.899292250851357,0.0,100,0.014267921447753906,,,
hts_df_size_500_seed_1_v2,0,7,5,10,mean,optimal,mse,7.1000000000000005,0.44918891065668193,0,1.723703384399414,True,True,False
hts_df_size_500_seed_1_v2,0,7,5,10,optimal,optimal,mse,7.130769230769231,0.45546925263135873,0,155.4250512123108,True,True,False
hts_df_size_500_seed_1_v2,1,7,5,10,sklearn,sklearn,sklearn,5.492194836642339,0.0,100,0.003179311752319336,,,
hts_df_size_500_seed_1_v2,1,7,5,10,mean,optimal,mse,7.787692307692309,0.41795630696403435,0,2.059098958969116,True,True,False
hts_df_size_500_seed_1_v2,1,7,5,10,optimal,optimal,mse,7.356923076923078,0.33952332277795577,0,154.13610649108887,True,True,False
hts_df_size_500_seed_1_v2,2,7,5,10,sklearn,sklearn,sklearn,4.920376646914569,0.0,100,0.003228902816772461,,,
hts_df_size_500_seed_1_v2,2,7,5,10,mean,optimal,mse,7.0323076923076915,0.4292214187947289,0,1.7302303314208984,True,True,False
hts_df_size_500_seed_1_v2,2,7,5,10,optimal,optimal,mse,7.053846153846154,0.43359881977112946,0,150.1266152858734,True,True,False
hts_df_size_500_seed_1_v2,3,7,5,10,sklearn,sklearn,sklearn,5.251013706206578,0.0,100,0.004786014556884766,,,
hts_df_size_500_seed_1_v2,3,7,5,10,mean,optimal,mse,7.555384615384615,0.4388430573803918,0,1.8339974880218506,True,True,False
hts_df_size_500_seed_1_v2,3,7,5,10,optimal,optimal,mse,7.370769230769229,0.40368501077366226,0,153.4707145690918,True,True,False
hts_df_size_500_seed_1_v2,4,7,5,10,sklearn,sklearn,sklearn,5.333281919187578,0.0,100,0.004317522048950195,,,
hts_df_size_500_seed_1_v2,4,7,5,10,mean,optimal,mse,7.581538461538462,0.421552165517881,0,1.7980990409851074,True,True,False
hts_df_size_500_seed_1_v2,4,7,5,10,optimal,optimal,mse,7.795384615384616,0.461648705900792,0,147.22920393943787,True,True,False
hts_df_size_500_seed_2_v2,0,7,5,10,sklearn,sklearn,sklearn,5.727795207214698,0.0,100,0.003113985061645508,,,
hts_df_size_500_seed_2_v2,0,7,5,10,mean,optimal,mse,7.773846153846154,0.35721440320601233,0,1.99344801902771,True,True,False
hts_df_size_500_seed_2_v2,0,7,5,10,optimal,optimal,mse,7.575384615384616,0.3225655494530783,0,132.4550700187683,True,True,False
hts_df_size_500_seed_2_v2,1,7,5,10,sklearn,sklearn,sklearn,5.372150908705054,0.0,100,0.00416874885559082,,,
hts_df_size_500_seed_2_v2,1,7,5,10,mean,optimal,mse,7.396923076923077,0.3769015805079255,0,1.8767850399017334,True,True,False
hts_df_size_500_seed_2_v2,1,7,5,10,optimal,optimal,mse,6.855384615384614,0.27609680589503227,0,128.96677350997925,True,True,False
hts_df_size_500_seed_2_v2,2,7,5,10,sklearn,sklearn,sklearn,5.7349278070348495,0.0,100,0.0029916763305664062,,,
hts_df_size_500_seed_2_v2,2,7,5,10,mean,optimal,mse,7.696923076923077,0.34211333357701756,0,1.856440544128418,True,True,False
hts_df_size_500_seed_2_v2,2,7,5,10,optimal,optimal,mse,7.459999999999999,0.3008010302848206,0,132.082102060318,True,True,False
hts_df_size_500_seed_2_v2,3,7,5,10,sklearn,sklearn,sklearn,5.576403148830727,0.0,100,0.0059833526611328125,,,
hts_df_size_500_seed_2_v2,3,7,5,10,mean,optimal,mse,7.44153846153846,0.33446923813225715,0,1.905045747756958,True,True,False
hts_df_size_500_seed_2_v2,3,7,5,10,optimal,optimal,mse,7.75076923076923,0.38992268383508627,0,133.00747561454773,True,True,False
hts_df_size_500_seed_2_v2,4,7,5,10,sklearn,sklearn,sklearn,5.443210996726284,0.0,100,0.0031647682189941406,,,
hts_df_size_500_seed_2_v2,4,7,5,10,mean,optimal,mse,7.321538461538461,0.3450770998849505,0,1.8584904670715332,True,True,False
hts_df_size_500_seed_2_v2,4,7,5,10,optimal,optimal,mse,7.324615384615385,0.345642377085995,0,134.90003061294556,True,True,False
